strategy,engine,version_slug,bump_distance,schema_recall,schema_precision,schema_type_accuracy,invariant_recall,invariant_precision,invariant_severity_accuracy,wall_clock_sec,energy_wh,failure_modes,brittleness_pass_through_rate,brittleness_silent_fail_count,brittleness_detectable_fail_count,brittleness_patch_cost_loc,schema_reference_count,schema_cell_count,schema_intersection_count,invariant_reference_count,invariant_cell_count,invariant_intersection_count
a,tensorrt,v0_21_0,active,1.0,1.0,1.0,1.0,1.0,1.0,0.00013522058725357056,0.0,none,,,,,107,107,107,31,31,31
a,transformers,v4_57_3,active,1.0,1.0,1.0,1.0,1.0,1.0,0.0001356024295091629,0.0,none,,,,,112,112,112,39,39,39
a,vllm,v0_7_3,active,1.0,1.0,1.0,1.0,1.0,1.0,0.00015578977763652802,0.0,none,,,,,135,135,135,26,26,26
b,tensorrt,v0_21_0,active,0.5607476635514018,0.46511627906976744,0.48333333333333334,0.0,0.0,0.0,1372.1819725558162,66.43797653241148,none;silent,,,,,107,129,60,31,39,0
b,transformers,v4_57_3,active,0.8303571428571429,0.9393939393939394,0.5591397849462365,0.5641025641025641,0.43137254901960786,0.7727272727272727,1649.152866128832,81.31380030649377,none,,,,,112,99,93,39,51,22
b,vllm,v0_7_3,active,0.9703703703703703,0.8506493506493507,0.46564885496183206,0.38461538461538464,0.15151515151515152,1.0,1414.2522371578962,67.9321922084447,none,,,,,135,154,131,26,66,10
b_8b,transformers,v4_57_3,active,0.8571428571428571,0.9320388349514563,0.5729166666666666,0.35714285714285715,0.16129032258064516,1.0,412.62808020971715,4.9266187774755,none,,,,,112,103,96,28,62,10
c,transformers,v4_57_3,active,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,key_absent,,,,,0,0,0,0,0,0
d-ab,tensorrt,v0_21_0,active,1.0,1.0,1.0,1.0,0.7948717948717948,1.0,207.47215112484992,10.944221897226653,none,,,,,107,107,107,31,39,31
d-ab,transformers,v4_57_3,active,1.0,1.0,1.0,1.0,0.9333333333333333,1.0,20.094959991052747,0.8402531182972381,none,,,,,112,112,112,28,30,28
d-ab,vllm,v0_7_3,active,1.0,1.0,1.0,1.0,1.0,1.0,433.60082914866507,19.382677256760637,none,,,,,135,135,135,26,26,26
